url;Jumlah Data
http://lpse.tegalkab.go.id/eproc4;2,144
http://lpse.telukbintunikab.go.id/eproc4;141
http://103.60.180.250/eproc4;169
http://lpse.temanggungkab.go.id/eproc4;2,433
http://lpse.ttskab.go.id/eproc4;2,48
http://lpse.ttukab.go.id/eproc4;983
http://lpse.tobakab.go.id/eproc4;998
http://lpse.tojounauna.go.id/eproc4;1,358
https://lpse.tolikarakab.go.id/eproc4;6
https://lpse.tolitolikab.go.id/eproc4;1,097
http://lpse.torajautarakab.go.id/eproc4;973
http://lpse.trenggalekkab.go.id/eproc4;1,872
https://lpse.tubankab.go.id/eproc4;6,553
https://lpse.tulangbawangbaratkab.go.id/eproc4;2,066
http://lpse.tulungagung.go.id/eproc4;1,267
https://lpse-wajokab.go.id/eproc4;1,508
https://lpse.wakatobikab.go.id/eproc4;1,666
https://lpse.waykanankab.go.id/eproc4;1,666
https://lpse.wonogirikab.go.id/eproc4;2,874
http://lpse.wonosobokab.go.id/eproc4;2,279
http://lpse.yalimokab.go.id/eproc4;0
http://lpse.kejaksaan.go.id/eproc4;1,07
https://lpse.atrbpn.go.id/eproc4;4,988
http://lpse.kemendesa.go.id/eproc4;4,363
https://lpse.kemkes.go.id/eproc4;25,44
https://lpse.kemnaker.go.id/eproc4;3,343
https://lpse.polkam.go.id/eproc4;98
https://lpse.kemenparekraf.go.id/eproc4;4,188
https://lpse.menpan.go.id/eproc4;199
https://lpse.ristekdikti.go.id/eproc4;
http://lpse.ambon.go.id/eproc4;1,805
http://lpse.balikpapan.go.id/eproc4;3,249
https://lpse.bandaacehkota.go.id/eproc4;2,102
https://lpse.bandarlampungkota.go.id/eproc4;3,638
http://lpse.bandung.go.id/eproc4;5,4
http://lpse.banjarkota.go.id/eproc4;78
https://lpse.banjarbarukota.go.id/eproc4;2,514
https://lpse.banjarmasinkota.go.id/eproc4;3,339
https://lpse.batam.go.id/eproc4;7,084
http://lpse.batukota.go.id/eproc4;1,112
http://lpse.baubaukota.go.id/eproc4;1,607
http://lpse.bekasikota.go.id/eproc4;6,047
http://lpse.bengkulukota.go.id/eproc4;1,144
https://lpse.bimakota.go.id/eproc4;752
https://lpse.binjaikota.go.id/eproc4;906
http://lpse.bitungkota.go.id/eproc4;1,741
http://lpse.blitarkota.go.id/eproc4;1,339
https://eproc.kotabogor.go.id/eproc4;3,21
http://lpse.bontangkota.go.id/eproc4;906
http://lpse.bukittinggikota.go.id/eproc4;1,133
http://lpse.cilegon.go.id/eproc4;3,241
http://lpse.cimahikota.go.id/eproc4;1,671
https://eproc.denpasarkota.go.id/eproc4;2,596
https://lpse.depok.go.id/eproc4;7,395
https://lpse.dumaikota.go.id/eproc4;1,433
https://lpse.gorontalokota.go.id/eproc4;647
https://lpse.gunungsitolikota.go.id/eproc4;
http://lpse.jambikota.go.id/eproc4;2,993
http://lpse.jayapurakota.go.id/eproc4;1,061
http://lpse.kedirikota.go.id/eproc4;930
https://lpse.kendarikota.net/eproc4;1,428
https://lpse.kotamobagukota.go.id/eproc4;686
http://lpse.kupangkota.go.id/eproc4;1,261
http://lpse.langsakota.go.id/eproc4;1,345
http://lpse.lhokseumawekota.go.id/eproc4;1,251
http://lpse.lubuklinggaukota.go.id/eproc4;1,901
https://lpse.madiunkota.go.id/eproc4;1,766
https://lpse.magelangkota.go.id/eproc4;857
https://lpse.makassar.go.id/eproc4;3,752
https://lpse.malangkota.go.id/eproc4;2,806
http://lpse.manadokota.go.id/eproc4;1,922
https://lpse.mataramkota.go.id/eproc4;709
http://lpse.pemkomedan.go.id/eproc4;
http://lpse.metrokota.go.id/eproc4;
https://lpse.mojokertokota.go.id/eproc4;
http://lpse.padang.go.id/eproc4;2,853
http://lpse.padangpanjang.go.id/eproc4;534
http://103.131.61.187/eproc4;1,189
http://lpse.pagaralamkota.go.id/eproc4;
https://lpse.palangkaraya.go.id/eproc4;2,188
https://lpse.palembang.go.id/eproc4;5,923
http://lpse.palopokota.go.id/eproc4;1,063
http://lpse.palukota.go.id/eproc4;1,978
https://lpse.pangkalpinangkota.go.id/eproc4;1,219
http://lpse.pareparekota.go.id/eproc4;1,074
http://lpse.pariamankota.go.id/eproc4;668
https://lpse.pasuruankota.go.id/eproc4;1,441
