id_lpse;nama_lpse;url;versi;id_repo;lengkap;status;id_wilayah;kategori
105;LPSE Kementerian Dalam Negeri;https://lpse.kemendagri.go.id/eproc4;4.5u20220801;105;1;1;3100;1
109;LPSE Kementerian Energi dan Sumber Daya Mineral;https://eproc.esdm.go.id/eproc4;4.5u20220628;109;1;1;3100;1
252;LPSE Kementerian Hukum dan HAM RI;https://lpse.kemenkumham.go.id/eproc4;4.5u20220801;252;1;1;3100;1
218;LPSE Kementerian Kelautan dan Perikanan;http://lpse.kkp.go.id/eproc4;4.5u20220801;218;1;1;3100;1
11;LPSE Kementerian Keuangan;https://lpse.kemenkeu.go.id/eproc4;4.4u20220601;11;1;1;3100;1
683;LPSE Kementerian Komunikasi dan Informatika;https://lpse.kominfo.go.id/eproc4;4.5u20220721;683;1;1;3100;1
371;LPSE Kementerian Koperasi dan UKM;https://lpse.kemenkopukm.go.id/eproc4;4.5u20220613;371;1;1;3100;1
291;LPSE Kementerian Lingkungan Hidup dan Kehutanan;http://lpse.menlhk.go.id/eproc4;4.4u20220310;291;1;1;3100;1
136;LPSE Kementerian Luar Negeri;https://lpse.kemlu.go.id/eproc4;4.5u20220513;136;1;1;3100;1
519;LPSE Kementerian Pemuda dan Olahraga;https://lpse.kemenpora.go.id/eproc4;4.5u20220613;519;1;1;3100;1
25;LPSE Kementerian Pendidikan dan Kebudayaan;https://lpse.kemdikbud.go.id/eproc4;4.5u20220801;25;1;1;3100;1
276;LPSE Kementerian Perdagangan RI;https://lpse.kemendag.go.id/eproc4;4.5u20220804;276;1;1;3100;1
114;LPSE Kementerian Perhubungan;https://lpse.dephub.go.id/eproc4;4.5u20220801;114;1;1;3100;1
126;LPSE Kementerian Perindustrian;https://lpse.kemenperin.go.id/eproc4;4.5u20220721;126;1;1;3100;1
482;LPSE Kementerian Pertahanan Republik Indonesia;http://lpse.kemhan.go.id/eproc4;4.5u20220721;482;1;1;3100;1
212;LPSE Kementerian Pertanian;https://lpse.pertanian.go.id/eproc4;4.4u20220601;212;1;1;3100;1
323;LPSE Kementerian Sosial;https://lpse.kemenkeu.go.id/eproc4;4.4u20220601;11;1;0;3100;1
44;LPSE Kepolisian Republik Indonesia;http://lpse.polri.go.id/eproc4;4.5u20220801;44;1;1;3100;3
724;LPSE Komisi Pemilihan Umum;https://lpse.kpu.go.id/eproc4;4.5u20220613;724;1;1;3100;3
362;LPSE Lembaga Ilmu Pengetahuan Indonesia;http://lpse.lipi.go.id/eproc4;4.4u20210827;362;1;1;3100;3
649;LPSE Lembaga Ketahanan Nasional;http://lpse.lemhannas.go.id/eproc4;4.5u20220509;649;1;1;3100;3
653;LPSE Lembaga Penerbangan dan Antariksa Nasional;https://lpse.lapan.go.id/eproc4;4.5u20220216;653;1;1;3100;3
95;LPSE Mahkamah Konstitusi;http://lpse.mahkamahkonstitusi.go.id/eproc4;4.5u20220602;95;1;1;3100;3
210;LPSE Majelis Permusyawaratan Rakyat Republik Indonesia;http://lpse.mpr.go.id/eproc4;4.4u20210428;210;1;1;3100;3
704;LPSE PD Pasar Jaya;http://lpse.pasarjaya.co.id/eproc4;4.3u20190410;704;1;0;3100;6
686;LPSE PDAM Kota Malang;http://spse.pdamkotamalang.com/eproc4;4.5u20220216;686;1;0;;6
700;LPSE Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia;https://eproc.airnavindonesia.co.id/eproc4;4.5u20220216;700;1;0;3100;6
576;LPSE Polda Metro Jaya;http://lpse.metro.polri.go.id/eproc4;4.5u20220715;576;1;1;3100;3
368;LPSE Politeknik Negeri Jakarta;http://lpse.pnj.ac.id/eproc4;;368;1;0;3100;5
616;LPSE PT Angkasa Pura II (Persero);https://lpse.kemenkeu.go.id/eproc4;4.4u20220601;11;1;0;3100;6
236;LPSE Televisi Republik Indonesia;http://lpse.tvri.co.id/eproc4;4.5u20220513;236;1;1;3100;6
603;LPSE Tentara Nasional Indonesia;http://lpse.mabestni.mil.id/eproc4;4.4u20220601;603;1;1;3100;3
638;LPSE TNI Angkatan Darat;https://lpse.tniad.org/eproc4;4.5u20220708;638;1;1;3100;3
588;LPSE TNI Angkatan Laut;http://lpse.tnial.mil.id/eproc4;;588;1;1;3100;3
605;LPSE TNI Angkatan Udara;http://110.138.137.229/eproc4;;605;1;1;3100;3
750;LPSE Universitas Terbuka;http://lpse.ut.ac.id/eproc4;;#N/A;1;1;3100;5
127;LPSE Provinsi Daerah Khusus Ibukota Jakarta;https://lpse.jakarta.go.id/eproc4;4.4u20220601;127;1;1;3100;4
28;LPSE PT Kawasan Berikat Nusantara;http://eproc.kbn.co.id/eproc4;4.5u20220216;28;1;0;3100;6
92;LPSE PT Pelayaran Nasional Indonesia;https://lpse.pelni.co.id/eproc4;4.3u20191009;92;1;0;3100;6
100;LPSE PT Perusahaan Listrik Negara;https://lpse.kemenkeu.go.id/eproc4;4.4u20220601;11;1;0;3100;6
