,Nama,NPWP
4486,             PT. Amwode Net Indonesia          ,70.010.465.6-027.000
4487,             PT SUMA MANDIRI          ,03.224.271.7-008.000
4488,             PT.KURAYGEO SERVICE INDONESIA          ,35.157.177.3-024.000
4489,             PT. SILBERS INDONESIA MANDIRI          ,66.277.490.0-006.000
4490,             PT Visiprompt Citra Prima          ,02.389.530.3-432.000
4492,"             PT. Telekomunikasi Indonesia, Tbk.          ",01.000.013.1-093.000
4498,             CV. MULTI SKINDO UTAMA          ,01.347.946.4-026.000
4501,             PT. ARTHA TEKNIK MULIA          ,70.734.420.6-435.000
4502,             Merial esa          ,01.397.742.6-061.000
4503,             PT MATURI BERKAH MAKMUR          ,74.378.837.4-452.000
4504,             SPEKTRA MEGAMAS          ,02.567.550.5-428.000
4505,             PT BANGUN ENERGI          ,02.846.085.5-043.000
4506,             PT. NUSA INTER OMEGA          ,74.601.092.5-017.000
4507,             PT. ASMIN ADISENTOSA          ,02.341.903.9-086.000
4509,             PT. STARS YUDHATAMA          ,02.239.336.7-416.000
4511,             PT Mahakarya Geo Survey          ,02.144.905.3-081.000
4512,             PT ACCESS MICRO SISTEM          ,03.093.707.2-031.000
4514,             PT. ELECKON SATOKINDO          ,01.339.921.7-009.000
4515,             arjuna  perkasa mandiri          ,75.777.221.5-005.000
4516,             PT. BUSANA CEMERLANG GARMENT INDUSTRI          ,01.240.877.9-429.000
4517,             PT. ALFRINDO KARYA TAMA          ,03.200.457.4-643.000
4519,             PT. ADINIAGA GLOBAL PRATAMA          ,03.273.876.7-039.000
4520,             PT. LINKADATA CITRA MANDIRI          ,02.184.468.3-013.000
4521,             PT. Dambasa Utama          ,02.173.964.4-017.000
4522,             PT. SARANA GLOBAL INDONESIA          ,01.973.587.7-071.000
4523,             CV. Compak Group          ,03.260.369.8-001.000
4524,             PT. ROYAL EAGLE ASIA          ,73.724.664.5-411.000
4525,             PT. TerraVision Indonesia          ,02.355.787.9-022.000
4526,             PT. ZHASA PUTRA DERATAMA          ,03.101.901.1-035.000
4527,             PT. GLOBAL TEKNO TRITAMA          ,03.172.144.2-006.000
4528,             CV. RICHARDO JAYA          ,02.182.659.9-006.000
4529,             PT. Kreasi Handal Selaras          ,02.314.362.1-013.000
4530,             PT. ARAFA YURISMA NUSANTARA          ,03.268.262.7-003.000
4531,             PT. Trikarya Megah Utama          ,03.037.103.3-012.000
4532,             PT. ARTHA BUANA PERKASA          ,74.243.961.5-008.000
4533,             PT. Lydia Multi Kreasi          ,01.549.089.9-013.000
4534,             PT. JUWITA SAMUDRA KENCANA          ,01.755.737.2-039.000
4536,             PT. KARYA GUNA KREASI          ,66.211.096.4-405.000
4537,             PT. ADAM SENTOSA UTAMA          ,02.333.633.2-071.000
4538,             PT. MEDIA TELEMATIKA JAYA          ,03.125.095.4-044.000
4541,             PT. DARMAWANGSA KARYA PERSADA          ,03.258.011.0-019.000
4543,             PT.HARDI INDRALOKA NUGRAHA          ,01.366.217.6-021.000
4544,             PT. CAKRA GLOBALINDO SAKTI          ,75.352.334.9-001.000
4545,             PT. Global Media Komunikasi Sarana          ,02.464.570.7-411.000
4546,             PT. GEOMATIK CONSULTANT          ,02.603.888.5-805.000
4548,             PT. Interforum Convex          ,02.250.218.1-018.000
4549,             PT. PUNDI TATA PRIMA          ,31.227.630.6-028.000
4550,             Mustika Mandiri          ,02.793.527.9-002.000
4551,             IDEA CREATIVE CONVEX          ,03.114.389.4-013.000
4552,             PT. Sumber Daya Inovasi          ,66.195.331.5-402.000
4553,             PT. VIGO KREASI VISINDO          ,31.549.609.1-013.000
4554,             PT. FORMATAMA MEGA KREASI          ,03.189.735.8-013.000
4555,             PT TRIMITRA KARYA BUANA          ,03.186.553.8-063.000
4556,             POTENSINDO GLOBAL          ,02.253.715.3-505.000
4557,             PT.KARUNIA BELANTI          ,71.256.966.4-429.000
4558,             PT. Pranatesa          ,02.445.091.8-017.000
4559,             TEKNO PASIFIK INDONESIA          ,03.315.563.1-017.000
4560,             MONTEX BUANA SELARAS          ,02.239.331.8-416.000
4561,             PT. CIPTA KARYA MULTIGUNA          ,03.014.974.4-008.000
4562,             CODIN DAYA PERSADA          ,75.198.114.3-067.000
4563,             PT. VISTRA VISINDO          ,66.364.623.0-013.000
4564,             PT. MEDIA CIPTA PESONA          ,31.722.227.1-412.000
4566,             PT. Karlin Mastrindo          ,01.849.399.9-031.000
4567,             PT. EXPONENT MEDIA VISI          ,02.448.720.9-015.000
4568,             PT. LANGIT BINTANG KREASI          ,72.182.862.2-432.000
4569,             CV.WIDYA GOLDEN          ,31.671.697.6-028.000
4570,             PT. LIMBAR JAYA          ,01.854.333.0-071.000
4571,             CV. BAMBOEDOEA KOMUNIKASI          ,01.893.891.0-061.000
4572,             PT AMYTHAS          ,01.363.942.2-062.000
4573,             CV. ALABKIM SCIENTIFIC          ,02.510.683.2-432.000
4575,             Bintang Sembilan. CV          ,31.474.322.0-002.000
4576,             PT. CORINA INTIMEDIA ADHISWATI          ,03.018.764.5-017.000
4577,             PT. CITRA KARYA MITRA NUSANTARA          ,72.545.402.9-416.000
4578,             PT. Semarak Gelar Chantika          ,03.324.243.9-028.000
4579,             PT. GADING PERSADA MANDIRI          ,02.739.526.8-416.000
4580,             PT. Kaesa Indah Sejahtera          ,02.314.818.2-015.000
4581,             CV MONJALI ABADI UTAMA          ,02.544.237.7-542.000
4582,             CV. KEMUMU KEMBAR          ,71.387.463.4-005.000
4583,             CV. GALUNG BROTHERS          ,03.031.489.2-027.000
4585,             PT LAKSMINDO BAHTERA          ,01.543.147.1-063.000
4586,             CV. TAMITA UTAMA          ,02.832.279.0-027.000
4587,             PT. BUANA PUSPITA CENDIKIA          ,03.324.244.7-028.000
4589,             PT. MEDALI SUKSES ABADI          ,71.347.931.9-413.000
4590,             PT. SIGMA UTAMA          ,01.002.125.1-051.000
4591,             PT. Lautan Elok Sejahtera          ,02.204.899.5-509.000
4592,             PT. Pancur Mas Utama          ,01.369.846.9-017.000
4593,             PT. TIGA BERLIAN PRATAMA          ,71.848.202.9-942.000
4594,             PT. AMORAINDO UTAMA KARYA          ,75.312.930.3-009.000
4595,             PT TREMBESI GLOBAL ENERGI          ,72.209.335.8-027.000
4597,             PT. ARTARINDO MANDIRI          ,03.241.045.8-061.000
4598,             PT. ADHIKARYA TEKNIK PERKASA          ,02.346.375.5-042.000
4599,             CV GENERASI SATU HATI          ,02.122.757.4-005.000
4600,             PT. RIEFNA KARYA          ,31.768.656.6-086.000
4611,             CV. Budi Kusuma Tech          ,73.045.737.1-542.000
4613,             PT TUV SUD Indonesia          ,02.194.024.2-072.000
4614,             PT.IVIT KONSULINDO          ,03.050.862.6-444.000
4615,             PT. POSITIVE MANAGEMENT CONSULTING          ,31.263.209.4-063.000
4616,             cse aviation          ,03.117.884.1-019.000
4617,             PT Microvac Indonesia          ,31.239.283.0-432.000
4618,             PT Catur Daya Intitama          ,72.473.474.4-012.000
4619,             PT. MORTEZA Teknikatama          ,01.691.776.7-429.000
4620,             PT. GAMATECHNO INDONESIA          ,02.369.197.5-541.000
4621,             PT. GIHON WAHANA CIPTA          ,02.319.228.9-005.000
4625,             PT. PILAR CIPTA SOLUSI INTEGRATIKA          ,75.056.654.9-542.000
4627,             CV DAUN JATI          ,72.733.577.0-446.000
4628,             PT. MATARAM SURYA CIPTA          ,31.518.565.2-015.000
4629,             PT. ONE SYSTEM SOLUTION          ,02.490.950.9-064.000
4630,             PT. INTI KONTEN INDONESIA          ,31.195.344.2-424.000
4636,             PT. TUMBUS PARLINGGOMAN          ,01.628.739.3-003.000
4651,             PT GAGAS DAYA IMAJI          ,02.778.525.2-423.000
4653,             PT. MUARA CONSULT          ,01.910.250.8-429.000
4654,             PT. Tesaputra Adiguna          ,01.691.894.8-441.000
4655,             PT. INTIMULYA MULTIKENCANA          ,01.216.271.5-441.000
4657,             PT. SYSTEL INDONESIA          ,31.460.812.6-071.000
4658,             PT. MULTIDECON INTERNAL          ,01.328.093.8-061.000
4661,             PT Petra Buana Mandiri          ,03.135.607.4-001.000
4662,             PT. MATRICA CONSULTING SERVICE          ,02.433.262.9-063.000
4663,             PT. BENNATIN SURYA CIPTA          ,01.802.120.4-062.000
4664,             PT. Duta Informatika          ,02.527.123.0-017.000
4665,             PT Magna Transforma Utama          ,02.901.240.8-031.000
4666,             PT. BARRATA GLOBAL TECHNOLOGY          ,31.288.825.8-429.000
4667,             PT. EPIR MANDIRI          ,31.442.681.8-002.000
4668,             PT. NOA JAYA          ,31.642.968.7-002.000
4669,             PT. HARTOSHI INDO PRATAMA          ,02.881.233.7-036.000
4670,             CV. PELITA PUTRA PRATAMA          ,72.287.098.7-101.000
4671,             PT. Maxxima Innovative Engineering          ,02.314.065.0-009.000
4674,             Berca Mandiri Perkasa          ,02.416.806.4-073.000
4675,             PT. United Liftruck Indonesia          ,31.243.677.7-432.000
4678,             PT. VADS Indonesia          ,02.901.474.3-011.000
4680,             Batara Karya Sentosa          ,02.041.880.2-004.000
4685,             CV. Luvtech Indonesia          ,02.961.069.8-541.000
4686,             PT. INTERMEDIA TEKNOLOGI PRIMA          ,66.759.737.1-017.000
4687,             CV. Lintang Utama Infotek          ,02.835.032.0-001.000
4688,             PT. ULTIMATE TECHNOLOGY SOLUTION          ,02.191.764.6-029.000
4690,             PT.ARSYS DATA INTEGRASI          ,31.232.027.8-003.000
4691,             PT. TRIVERSA INTI NUSA          ,70.379.891.8-009.000
4694,             CV. RINA JAYA          ,02.370.474.5-603.000
4695,             CV.MBM          ,02.609.412.8-609.000
4699,             CV. Mafira Wahana Jaya          ,03.088.221.1-603.000
4701,             PT. KARANGSARI CIPTA MANDIRI          ,02.479.397.8-015.000
4702,             PT. ARTOS REKA TEKNOLOGI          ,31.691.761.6-411.000
4703,             PT GARUDA KENCANA MAS          ,03.330.065.8-017.000
